"MD","attractant","phero_lure","EndDate","total_now","males","Prop_males","julian"
"No","Kairomone","No pheromone lure",2018-04-27,299,274,0.916387959866221,117
"No","Kairomone","No pheromone lure",2018-05-04,257,235,0.914396887159533,124
"No","Kairomone","No pheromone lure",2018-05-16,273,247,0.904761904761905,136
"No","Kairomone","No pheromone lure",2018-05-25,92,58,0.630434782608696,145
"No","Kairomone","No pheromone lure",2018-05-29,17,14,0.823529411764706,149
"No","Kairomone","Pheromone lure",2018-04-27,503,473,0.940357852882704,117
"No","Kairomone","Pheromone lure",2018-05-04,468,432,0.923076923076923,124
"No","Kairomone","Pheromone lure",2018-05-16,561,506,0.901960784313726,136
"No","Kairomone","Pheromone lure",2018-05-25,209,138,0.660287081339713,145
"No","Kairomone","Pheromone lure",2018-05-29,58,42,0.724137931034483,149
"No","PPO","No pheromone lure",2018-04-27,359,326,0.908077994428969,117
"No","PPO","No pheromone lure",2018-05-04,329,289,0.878419452887538,124
"No","PPO","No pheromone lure",2018-05-16,338,290,0.857988165680473,136
"No","PPO","No pheromone lure",2018-05-25,111,72,0.648648648648649,145
"No","PPO","No pheromone lure",2018-05-29,19,16,0.842105263157895,149
"No","PPO","Pheromone lure",2018-04-27,470,427,0.908510638297872,117
"No","PPO","Pheromone lure",2018-05-04,556,485,0.872302158273381,124
"No","PPO","Pheromone lure",2018-05-16,657,568,0.864535768645358,136
"No","PPO","Pheromone lure",2018-05-25,301,191,0.634551495016611,145
"No","PPO","Pheromone lure",2018-05-29,64,48,0.75,149
