"Crop","MD","Treatment","Rep","nObs","total","perwk"
"Alm","No","NowBiolure","1",6,215,35.8333333333333
"Alm","No","NowBiolure","2",6,210,35
"Alm","No","NowBiolure","3",6,163,27.1666666666667
"Alm","No","NowBiolure","4",6,192,32
"Alm","No","NowBiolure","5",6,153,25.5
"Alm","No","NowBiolure","6",6,184,30.6666666666667
"Alm","No","NowBiolure","7",6,221,36.8333333333333
"Alm","No","NowBiolure","8",6,259,43.1666666666667
"Alm","No","Ppo","1",6,171,28.5
"Alm","No","Ppo","2",6,139,23.1666666666667
"Alm","No","Ppo","3",6,133,22.1666666666667
"Alm","No","Ppo","4",6,198,33
"Alm","No","Ppo","5",6,120,20
"Alm","No","Ppo","6",6,137,22.8333333333333
"Alm","No","Ppo","7",6,124,20.6666666666667
"Alm","No","Ppo","8",6,224,37.3333333333333
"Alm","No","PpoCombo","1",6,285,47.5
"Alm","No","PpoCombo","2",6,262,43.6666666666667
"Alm","No","PpoCombo","3",6,333,55.5
"Alm","No","PpoCombo","4",6,297,49.5
"Alm","No","PpoCombo","5",6,276,46
"Alm","No","PpoCombo","6",6,181,30.1666666666667
"Alm","No","PpoCombo","7",6,224,37.3333333333333
"Alm","No","PpoCombo","8",6,373,62.1666666666667
"Alm","No","StopNow","1",6,159,26.5
"Alm","No","StopNow","3",6,139,23.1666666666667
"Alm","No","StopNow","4",6,146,24.3333333333333
"Alm","No","StopNow","5",6,99,16.5
"Alm","No","StopNow","6",6,188,31.3333333333333
"Alm","No","StopNow","7",6,81,13.5
"Alm","No","StopNow","8",6,126,21
"Alm","No","StopNowCombo","1",6,258,43
"Alm","No","StopNowCombo","2",6,270,45
"Alm","No","StopNowCombo","3",6,218,36.3333333333333
"Alm","No","StopNowCombo","4",6,264,44
"Alm","No","StopNowCombo","5",6,248,41.3333333333333
"Alm","No","StopNowCombo","6",6,225,37.5
"Alm","No","StopNowCombo","7",6,162,27
"Alm","No","StopNowCombo","8",6,242,40.3333333333333
"Pis","No","NowBiolure","1",7,53,7.57142857142857
"Pis","No","NowBiolure","2",7,77,11
"Pis","No","NowBiolure","3",7,42,6
"Pis","No","NowBiolure","4",7,33,4.71428571428571
"Pis","No","NowBiolure","5",7,68,9.71428571428571
"Pis","No","NowBiolure","6",7,29,4.14285714285714
"Pis","No","NowBiolure","7",7,21,3
"Pis","No","NowBiolure","8",7,47,6.71428571428571
"Pis","No","Ppo","1",7,47,6.71428571428571
"Pis","No","Ppo","2",7,34,4.85714285714286
"Pis","No","Ppo","3",7,77,11
"Pis","No","Ppo","4",7,63,9
"Pis","No","Ppo","5",7,64,9.14285714285714
"Pis","No","Ppo","6",7,65,9.28571428571429
"Pis","No","Ppo","7",7,95,13.5714285714286
"Pis","No","Ppo","8",7,109,15.5714285714286
"Pis","No","PpoCombo","1",7,62,8.85714285714286
"Pis","No","PpoCombo","2",7,76,10.8571428571429
"Pis","No","PpoCombo","3",7,88,12.5714285714286
"Pis","No","PpoCombo","4",7,87,12.4285714285714
"Pis","No","PpoCombo","5",7,96,13.7142857142857
"Pis","No","PpoCombo","6",7,108,15.4285714285714
"Pis","No","PpoCombo","7",7,127,18.1428571428571
"Pis","No","PpoCombo","8",7,149,21.2857142857143
"Pis","No","StopNow","2",7,11,1.57142857142857
"Pis","No","StopNow","3",7,32,4.57142857142857
"Pis","No","StopNow","4",7,31,4.42857142857143
"Pis","No","StopNow","5",7,24,3.42857142857143
"Pis","No","StopNow","6",7,35,5
"Pis","No","StopNow","7",7,28,4
"Pis","No","StopNow","8",7,55,7.85714285714286
"Pis","No","StopNowCombo","1",7,45,6.42857142857143
"Pis","No","StopNowCombo","2",7,45,6.42857142857143
"Pis","No","StopNowCombo","3",7,32,4.57142857142857
"Pis","No","StopNowCombo","4",7,41,5.85714285714286
"Pis","No","StopNowCombo","5",7,70,10
"Pis","No","StopNowCombo","6",7,68,9.71428571428571
"Pis","No","StopNowCombo","7",7,62,8.85714285714286
"Pis","No","StopNowCombo","8",7,85,12.1428571428571
"Pis","Yes","NowBiolure","1",5,8,1.6
"Pis","Yes","NowBiolure","2",5,5,1
"Pis","Yes","NowBiolure","3",5,6,1.2
"Pis","Yes","NowBiolure","4",5,7,1.4
"Pis","Yes","NowBiolure","5",5,1,0.2
"Pis","Yes","NowBiolure","6",5,5,1
"Pis","Yes","NowBiolure","7",5,7,1.4
"Pis","Yes","NowBiolure","8",5,12,2.4
"Pis","Yes","Ppo","1",5,32,6.4
"Pis","Yes","Ppo","2",5,17,3.4
"Pis","Yes","Ppo","3",5,30,6
"Pis","Yes","Ppo","4",5,20,4
"Pis","Yes","Ppo","5",5,34,6.8
"Pis","Yes","Ppo","6",5,31,6.2
"Pis","Yes","Ppo","7",5,43,8.6
"Pis","Yes","Ppo","8",5,58,11.6
"Pis","Yes","PpoCombo","1",5,76,15.2
"Pis","Yes","PpoCombo","2",5,58,11.6
"Pis","Yes","PpoCombo","3",5,44,8.8
"Pis","Yes","PpoCombo","4",5,66,13.2
"Pis","Yes","PpoCombo","5",5,19,3.8
"Pis","Yes","PpoCombo","6",5,60,12
"Pis","Yes","PpoCombo","7",5,8,1.6
"Pis","Yes","StopNow","1",5,17,3.4
"Pis","Yes","StopNow","2",5,20,4
"Pis","Yes","StopNow","4",5,15,3
"Pis","Yes","StopNow","5",5,10,2
"Pis","Yes","StopNow","6",5,18,3.6
"Pis","Yes","StopNow","7",5,13,2.6
"Pis","Yes","StopNowCombo","1",5,50,10
"Pis","Yes","StopNowCombo","2",5,35,7
"Pis","Yes","StopNowCombo","3",5,33,6.6
"Pis","Yes","StopNowCombo","4",5,27,5.4
"Pis","Yes","StopNowCombo","5",5,25,5
"Pis","Yes","StopNowCombo","6",5,27,5.4
"Pis","Yes","StopNowCombo","7",5,20,4
"Pis","Yes","StopNowCombo","8",5,22,4.4
